nm_college,bl_private,qt_applications_received,qt_applications_accepted,qt_students_enrolled,qt_top_10_percent,qt_top_25_percent,qt_undergraduate_students,qt_postgraduate_students,vl_tuition_outstate,vl_room_board,vl_books_cost,vl_personal_expenses,pc_faculty_with_phd,pc_faculty_with_terminal_degree,vl_student_faculty_ratio,pc_alumni_donors,vl_expenditure_per_student,pc_graduation_rate
MidAmerica Nazarene College,True,331.0,331.0,225.0,15.0,36.0,1100.0,166.0,6840.0,3720.0,1100.0,4913.0,33.0,33.0,15.4,20.0,5524.0,49.0
Rowan College of New Jersey,False,3820.0,1431.0,695.0,21.0,70.0,5303.0,3942.0,4356.0,4830.0,800.0,800.0,76.0,81.0,22.1,6.0,7252.0,51.0
Hypatia Institute,True,2000.0,1500.0,500.0,20.0,40.0,2000.0,300.0,10000.0,5000.0,600.0,1500.0,60.0,60.0,15.0,20.0,,60.0
Lake Forest College,True,979.0,638.0,271.0,31.0,70.0,968.0,20.0,16880.0,3970.0,920.0,1320.0,91.0,94.0,10.7,19.0,15687.0,77.0
Centenary College,True,369.0,312.0,90.0,12.0,46.0,396.0,526.0,11400.0,5400.0,500.0,760.0,41.0,85.0,9.5,20.0,9583.0,24.0
University of Miami,True,7122.0,5386.0,1643.0,42.0,69.0,7760.0,876.0,16500.0,6526.0,630.0,1985.0,82.0,94.0,5.9,17.0,17500.0,59.0
Union College KY,True,484.0,384.0,177.0,9.0,45.0,634.0,78.0,7800.0,2950.0,500.0,600.0,60.0,88.0,14.1,9.0,6864.0,64.0
Hiram College,True,922.0,729.0,244.0,37.0,66.0,1000.0,275.0,14067.0,4560.0,400.0,1000.0,75.0,95.0,10.6,34.0,12165.0,79.0
Bellarmine College,True,807.0,707.0,308.0,39.0,63.0,1198.0,605.0,8840.0,2950.0,750.0,1290.0,74.0,82.0,13.1,31.0,6668.0,84.0
LaGrange College,True,544.0,399.0,177.0,15.0,35.0,600.0,363.0,6987.0,3585.0,750.0,1500.0,77.0,83.0,12.5,12.0,9067.0,75.0
La Roche College,True,361.0,321.0,185.0,10.0,41.0,650.0,819.0,8842.0,4782.0,600.0,1100.0,57.0,73.0,14.2,14.0,7022.0,52.0
Moorhead State University,False,2442.0,2164.0,1189.0,12.0,37.0,5983.0,1075.0,4426.0,2664.0,600.0,1000.0,76.0,81.0,18.1,19.0,4795.0,60.0
Gustavus Adolphus College,True,1709.0,1385.0,634.0,36.0,72.0,2281.0,50.0,14125.0,3600.0,400.0,700.0,79.0,89.0,12.5,58.0,9907.0,80.0
Cabrini College,True,599.0,494.0,224.0,8.0,28.0,1035.0,446.0,10518.0,6250.0,300.0,300.0,59.0,76.0,16.5,36.0,7117.0,71.0
Houghton College,True,949.0,786.0,302.0,30.0,70.0,1210.0,26.0,9990.0,3550.0,500.0,1500.0,85.0,90.0,15.0,24.0,8187.0,67.0
University of North Carolina at Chapel Hill,False,14596.0,5985.0,3331.0,75.0,92.0,14609.0,1100.0,8400.0,4200.0,550.0,1200.0,88.0,93.0,8.9,23.0,15893.0,83.0
Central College,True,1283.0,1113.0,401.0,31.0,65.0,1355.0,40.0,10938.0,3660.0,650.0,600.0,76.0,90.0,13.5,29.0,8444.0,67.0
Mesa State College,False,1584.0,1456.0,891.0,6.0,18.0,3471.0,911.0,5016.0,3798.0,540.0,2256.0,48.0,48.0,28.8,12.0,3871.0,59.0
Rensselaer Polytechnic Institute,True,4996.0,4165.0,936.0,53.0,82.0,4291.0,16.0,17475.0,5976.0,1230.0,1100.0,94.0,98.0,15.4,21.0,15605.0,70.0
Oscar Wilde College,True,2000.0,1500.0,500.0,20.0,0.0,2000.0,300.0,10000.0,5000.0,600.0,1500.0,60.0,60.0,15.0,20.0,8000.0,60.0
Central Missouri State University,False,4681.0,4101.0,1436.0,10.0,35.0,8094.0,1596.0,4620.0,3288.0,300.0,2250.0,69.0,80.0,19.7,4.0,5501.0,50.0
Husson College,True,723.0,652.0,361.0,10.0,30.0,951.0,706.0,7800.0,4000.0,350.0,1500.0,36.0,44.0,22.0,4.0,4923.0,84.0
Che Guevara Center for Studies,False,2000.0,1500.0,,20.0,,2000.0,300.0,10000.0,5000.0,600.0,1500.0,60.0,60.0,15.0,20.0,,
Emily Dickinson Center for Studies,False,2000.0,1500.0,500.0,20.0,40.0,2000.0,20000.0,10000.0,5000.0,600.0,1500.0,60.0,0.0,15.0,20.0,8000.0,60.0
Florida Institute of Technology,True,1947.0,1580.0,523.0,39.0,74.0,1863.0,233.0,13900.0,4140.0,750.0,1500.0,90.0,90.0,10.6,7.0,8923.0,57.0
Saint Francis College,True,1046.0,824.0,284.0,21.0,45.0,1223.0,451.0,10880.0,5050.0,400.0,1235.0,64.0,64.0,19.3,24.0,7344.0,69.0
Prairie View A. and M. University,False,2405.0,2234.0,1061.0,10.0,22.0,4564.0,448.0,4290.0,3500.0,598.0,1582.0,55.0,93.0,19.4,1.0,5967.0,35.0
University of Wyoming,False,2029.0,1516.0,1073.0,23.0,46.0,7535.0,1488.0,5988.0,3422.0,600.0,1500.0,91.0,94.0,15.1,13.0,8745.0,45.0
Polytechnic University,True,1132.0,847.0,302.0,58.0,89.0,1379.0,214.0,16200.0,4200.0,436.0,2486.0,90.0,90.0,10.4,14.0,14329.0,62.0
University of South Carolina at Aiken,False,848.0,560.0,377.0,14.0,24.0,1855.0,1412.0,5800.0,3066.0,500.0,1500.0,62.0,62.0,14.8,3.0,5035.0,48.0
Oglethorpe University,True,792.0,649.0,186.0,56.0,87.0,769.0,377.0,12900.0,4340.0,600.0,4110.0,91.0,95.0,13.1,27.0,8568.0,67.0
Hope College,True,1712.0,1483.0,624.0,37.0,69.0,2505.0,208.0,12275.0,4341.0,465.0,1100.0,72.0,81.0,12.5,40.0,9284.0,72.0
Rosa Parks Institute,False,2000.0,1500.0,500.0,20.0,40.0,2000.0,300.0,10000.0,5000.0,600.0,1500.0,60.0,,15.0,20.0,8000.0,
Indiana State University,False,5659.0,4761.0,3147.0,10.0,31.0,8596.0,1949.0,6892.0,3706.0,600.0,2500.0,72.0,76.0,16.6,8.0,6996.0,40.0
New Jersey Institute of Technology,False,1879.0,1216.0,483.0,27.0,62.0,3311.0,1646.0,8832.0,5376.0,700.0,1850.0,92.0,98.0,13.5,19.0,12529.0,72.0
Saint Olaf College,True,2248.0,1673.0,745.0,38.0,73.0,2888.0,105.0,14350.0,3750.0,550.0,550.0,82.0,88.0,10.0,31.0,12502.0,83.0
Alexander the Great School of Arts,False,,1500.0,500.0,20.0,40.0,,300.0,10000.0,5000.0,600.0,1500.0,,60.0,15.0,,8000.0,60.0
John Brown University,True,605.0,405.0,284.0,24.0,53.0,961.0,99.0,6398.0,3672.0,400.0,1350.0,68.0,68.0,13.3,19.0,8118.0,75.0
Ouachita Baptist University,True,910.0,773.0,450.0,31.0,73.0,1310.0,61.0,6530.0,2800.0,500.0,1500.0,63.0,67.0,13.3,10.0,6413.0,65.0
Wentworth Institute of Technology,True,1480.0,1257.0,452.0,6.0,25.0,2961.0,572.0,9850.0,6050.0,850.0,920.0,10.0,68.0,15.4,8.0,17858.0,64.0
Eastern Connecticut State University,False,2172.0,1493.0,564.0,14.0,50.0,2766.0,1531.0,5962.0,4316.0,650.0,500.0,71.0,76.0,16.9,14.0,5719.0,50.0
Colby College,True,2848.0,1319.0,456.0,58.0,84.0,1720.0,35.0,18930.0,5590.0,500.0,1000.0,83.0,94.0,10.2,41.0,15954.0,91.0
Embry Riddle Aeronautical University,True,3151.0,2584.0,958.0,14.0,40.0,4772.0,856.0,7800.0,3750.0,570.0,3020.0,37.0,43.0,16.5,4.0,12878.0,44.0
Manhattanville College,True,962.0,750.0,212.0,21.0,54.0,830.0,150.0,14700.0,6550.0,450.0,400.0,97.0,97.0,11.3,24.0,11291.0,70.0
D'Youville College,True,866.0,619.0,157.0,18.0,47.0,1074.0,336.0,8920.0,4310.0,680.0,1320.0,68.0,68.0,14.6,42.0,6898.0,46.0
University of Maine at Farmington,False,1208.0,803.0,438.0,20.0,48.0,1906.0,344.0,6810.0,3970.0,450.0,1647.0,67.0,75.0,15.9,26.0,5712.0,59.0
Franciscan University of Steubenville,True,553.0,452.0,228.0,22.0,49.0,1301.0,242.0,9650.0,4400.0,600.0,1000.0,57.0,69.0,14.9,8.0,6336.0,83.0
Western Washington University,False,5548.0,3563.0,1549.0,30.0,71.0,8909.0,506.0,8124.0,4144.0,639.0,2385.0,83.0,89.0,22.7,10.0,7203.0,61.0
Bethel College KS,True,202.0,184.0,122.0,19.0,42.0,537.0,101.0,8540.0,3580.0,500.0,1400.0,61.0,80.0,8.8,32.0,8324.0,56.0
University of Delaware,True,14446.0,10516.0,3252.0,22.0,57.0,14130.0,4522.0,10220.0,4230.0,530.0,1300.0,82.0,87.0,18.3,15.0,10650.0,75.0
Genghis Khan Academy,True,2000.0,,500.0,20.0,40.0,2000.0,300.0,10000.0,5000.0,600.0,1500.0,60.0,60.0,15.0,20.0,8000.0,60.0
Baker University,True,602.0,483.0,206.0,21.0,47.0,958.0,466.0,8620.0,4100.0,400.0,2250.0,58.0,68.0,11.0,21.0,6136.0,65.0
Briar Cliff College,True,392.0,351.0,155.0,16.0,44.0,738.0,430.0,10260.0,3597.0,600.0,1500.0,39.0,66.0,13.1,26.0,8355.0,58.0
University of Detroit Mercy,True,927.0,731.0,415.0,24.0,50.0,2149.0,2217.0,11130.0,3996.0,600.0,2166.0,72.0,79.0,13.5,14.0,10891.0,51.0
Texas Wesleyan University,True,592.0,501.0,279.0,19.0,44.0,1204.0,392.0,6400.0,3484.0,600.0,1800.0,80.0,83.0,14.5,10.0,7936.0,43.0
Monmouth College IL,True,601.0,503.0,204.0,28.0,57.0,671.0,11.0,13000.0,4100.0,400.0,460.0,91.0,91.0,11.6,43.0,11087.0,56.0
Hypatia School of Arts,True,2000.0,1500.0,500.0,20.0,40.0,2000.0,300.0,10000.0,5000.0,600.0,1500.0,0.0,60.0,15.0,20.0,8000.0,60.0
University of Illinois at Chicago,False,8384.0,5727.0,2710.0,22.0,50.0,13518.0,2916.0,7230.0,5088.0,630.0,3228.0,82.0,84.0,10.0,6.0,13883.0,34.0
Julius Caesar School of Arts,False,2000.0,1500.0,500.0,20.0,40.0,2000.0,,,,10000.0,1500.0,60.0,60.0,15.0,20.0,8000.0,60.0
Denison University,True,2762.0,2279.0,533.0,32.0,60.0,1835.0,14.0,16900.0,4720.0,500.0,600.0,88.0,97.0,11.6,45.0,12423.0,81.0
College of St. Joseph,True,141.0,118.0,55.0,12.0,21.0,201.0,173.0,8300.0,4850.0,450.0,1300.0,53.0,53.0,9.5,19.0,6936.0,76.0
Gwynedd Mercy College,True,380.0,237.0,104.0,30.0,56.0,716.0,1108.0,11000.0,5550.0,500.0,500.0,36.0,41.0,7.8,22.0,7483.0,96.0
Hampden - Sydney College,True,817.0,644.0,307.0,20.0,40.0,945.0,1.0,13218.0,4773.0,660.0,600.0,95.0,97.0,13.3,53.0,12263.0,69.0
Che Guevara Institute,False,2000.0,1500.0,500.0,20.0,40.0,2000.0,300.0,10000.0,5000.0,600.0,1500.0,60.0,60.0,15.0,20.0,8000.0,60.0
Manhattan College,True,2432.0,1730.0,563.0,20.0,63.0,2578.0,254.0,12370.0,6800.0,500.0,1800.0,92.0,92.0,13.6,25.0,10062.0,79.0
SUNY at Buffalo,False,15039.0,9649.0,3087.0,36.0,100.0,13963.0,3124.0,6550.0,4731.0,708.0,957.0,90.0,97.0,13.6,15.0,11177.0,56.0
University of Kansas,False,8579.0,5561.0,3681.0,25.0,50.0,17880.0,1673.0,6994.0,3384.0,700.0,2681.0,88.0,94.0,13.7,17.0,9657.0,57.0
Pembroke State University,False,944.0,774.0,440.0,14.0,34.0,2174.0,529.0,6360.0,2760.0,550.0,1498.0,77.0,77.0,15.0,5.0,6443.0,48.0
Gardner Webb University,True,1110.0,930.0,332.0,18.0,36.0,1603.0,374.0,8180.0,4270.0,500.0,500.0,65.0,58.0,15.2,12.0,5664.0,29.0
Butler University,True,2362.0,2037.0,700.0,40.0,68.0,2607.0,148.0,13130.0,4650.0,500.0,1600.0,77.0,81.0,10.9,29.0,9511.0,83.0
Hamline University,True,1006.0,825.0,328.0,34.0,73.0,1362.0,102.0,13252.0,4194.0,450.0,550.0,89.0,93.0,13.0,33.0,10296.0,65.0
St. Paul's College,True,651.0,581.0,243.0,8.0,17.0,617.0,34.0,5000.0,3650.0,600.0,600.0,45.0,45.0,14.0,8.0,8426.0,45.0
Duke University,True,13789.0,3893.0,1583.0,90.0,98.0,6188.0,53.0,18590.0,5950.0,625.0,1162.0,95.0,96.0,5.0,44.0,27206.0,97.0
Notre Dame College,True,379.0,324.0,107.0,15.0,37.0,500.0,311.0,9990.0,4900.0,400.0,600.0,44.0,47.0,12.1,26.0,4948.0,33.0
Purdue University at West Lafayette,False,21804.0,18744.0,5874.0,29.0,60.0,26213.0,4065.0,9556.0,3990.0,570.0,1060.0,86.0,86.0,18.2,15.0,8604.0,67.0
Socrates College,,2000.0,1500.0,500.0,,40.0,2000.0,300.0,10000.0,,600.0,1500.0,60.0,60.0,15.0,20.0,8000.0,60.0
Mayville State University,False,233.0,233.0,153.0,5.0,12.0,658.0,58.0,4486.0,2516.0,600.0,1900.0,68.0,68.0,15.7,11.0,6971.0,51.0
Lesley College,True,244.0,198.0,82.0,12.0,33.0,1134.0,336.0,11700.0,5300.0,550.0,805.0,71.0,88.0,27.8,18.0,8694.0,58.0
University of Washington,False,12749.0,7025.0,3343.0,40.0,81.0,20356.0,4582.0,8199.0,4218.0,708.0,2172.0,96.0,94.0,9.0,10.0,16527.0,65.0
West Chester University of Penn.,False,6502.0,3539.0,1372.0,11.0,51.0,7484.0,1904.0,7844.0,4108.0,400.0,2000.0,76.0,79.0,15.3,16.0,6773.0,52.0
Waynesburg College,True,1190.0,978.0,324.0,12.0,30.0,1280.0,61.0,8840.0,3620.0,500.0,1200.0,57.0,58.0,16.2,26.0,6563.0,63.0
Rockhurst College,True,935.0,858.0,345.0,22.0,50.0,1127.0,754.0,9490.0,4100.0,500.0,1500.0,60.0,79.0,10.7,21.0,7519.0,79.0
College Misericordia,True,1432.0,888.0,317.0,29.0,58.0,1121.0,493.0,10860.0,5760.0,550.0,900.0,56.0,62.0,12.9,23.0,8604.0,96.0
Appalachian State University,False,7313.0,4664.0,1910.0,20.0,63.0,9940.0,1035.0,6806.0,2540.0,96.0,2000.0,83.0,96.0,18.3,14.0,5854.0,70.0
University of New England,True,1209.0,750.0,265.0,19.0,54.0,820.0,159.0,11450.0,5045.0,900.0,2500.0,72.0,75.0,11.4,13.0,9718.0,64.0
Beethoven School of Arts,True,2000.0,,500.0,20.0,40.0,2000.0,300.0,10000.0,0.0,,1500.0,60.0,60.0,15.0,20.0,8000.0,
University of Charleston,True,682.0,535.0,204.0,22.0,43.0,771.0,611.0,9500.0,3540.0,400.0,750.0,26.0,58.0,2.5,10.0,7683.0,57.0
Lindenwood College,True,810.0,484.0,356.0,6.0,33.0,2155.0,191.0,9200.0,4800.0,1000.0,4200.0,65.0,85.0,24.1,9.0,3480.0,100.0
Western Maryland College,True,1205.0,984.0,278.0,31.0,50.0,1071.0,98.0,14510.0,5340.0,500.0,1400.0,84.0,91.0,12.5,39.0,10026.0,60.0
University of Dayton,True,6361.0,5293.0,1507.0,26.0,51.0,5889.0,665.0,11380.0,4220.0,500.0,900.0,81.0,85.0,14.8,25.0,8894.0,93.0
University of Richmond,True,5892.0,2718.0,756.0,46.0,72.0,2854.0,594.0,14500.0,3285.0,700.0,1125.0,75.0,89.0,11.7,32.0,11984.0,100.0
Bethel College,True,502.0,384.0,104.0,11.0,28.0,347.0,74.0,6200.0,2900.0,600.0,800.0,63.0,63.0,11.7,13.0,7623.0,35.0
Bennington College,True,519.0,327.0,114.0,25.0,53.0,457.0,2.0,21700.0,4100.0,600.0,500.0,35.0,59.0,10.1,33.0,16364.0,55.0
Georgia Institute of Technology,False,7837.0,4527.0,2276.0,89.0,99.0,8528.0,654.0,6489.0,4438.0,795.0,1164.0,92.0,92.0,19.3,33.0,11271.0,70.0
University of Mississippi,False,3844.0,3383.0,1669.0,26.0,47.0,7524.0,804.0,4916.0,3810.0,600.0,550.0,81.0,86.0,20.3,14.0,6971.0,53.0
Stephens College,True,450.0,405.0,194.0,17.0,34.0,614.0,388.0,13900.0,5200.0,450.0,2150.0,46.0,63.0,10.9,17.0,9995.0,59.0
Capital University,True,1747.0,1382.0,449.0,34.0,66.0,1662.0,960.0,13050.0,4000.0,500.0,800.0,64.0,69.0,12.1,27.0,9557.0,83.0
Randolph-Macon Woman's College,True,696.0,616.0,169.0,35.0,66.0,653.0,56.0,13970.0,6110.0,370.0,920.0,88.0,97.0,9.2,24.0,16358.0,68.0
Newberry College,True,872.0,722.0,154.0,14.0,36.0,601.0,36.0,10194.0,2600.0,500.0,1500.0,57.0,63.0,11.4,32.0,5788.0,83.0
Oscar Wilde School of Arts,True,2000.0,1500.0,,20.0,40.0,,300.0,,5000.0,600.0,1500.0,60.0,100.0,15.0,20.0,8000.0,60.0
Mississippi College,True,594.0,385.0,307.0,36.0,57.0,1695.0,721.0,5580.0,2830.0,600.0,700.0,77.0,79.0,16.5,18.0,6170.0,61.0
Montclair State University,False,5220.0,2128.0,865.0,19.0,53.0,6411.0,3186.0,3648.0,4834.0,700.0,950.0,82.0,87.0,21.5,9.0,6717.0,58.0
Graceland College,True,555.0,414.0,242.0,14.0,41.0,996.0,2281.0,9100.0,3100.0,550.0,880.0,51.0,61.0,23.6,24.0,5609.0,47.0
Andrews University,True,1130.0,704.0,322.0,14.0,23.0,1586.0,326.0,9996.0,3090.0,900.0,1320.0,62.0,66.0,11.5,18.0,10908.0,46.0
Millsaps College,True,905.0,834.0,319.0,32.0,61.0,1073.0,179.0,11320.0,4402.0,550.0,1350.0,82.0,89.0,12.7,38.0,11218.0,58.0
Albert Einstein Center for Studies,True,2000.0,1500.0,500.0,20.0,40.0,2000.0,300.0,10000.0,5000.0,600.0,1500.0,60.0,60.0,15.0,20.0,8000.0,60.0
University of Oklahoma,False,4743.0,3970.0,2233.0,32.0,63.0,13436.0,2582.0,5173.0,3526.0,765.0,3176.0,86.0,90.0,11.5,11.0,10244.0,44.0
Martin Luther King Jr. School of Arts,True,2000.0,1500.0,500.0,,40.0,50000.0,300.0,10000.0,5000.0,600.0,1500.0,60.0,60.0,15.0,20.0,8000.0,60.0
Johns Hopkins University,True,8474.0,3446.0,911.0,75.0,94.0,3566.0,1569.0,18800.0,6740.0,500.0,1040.0,96.0,97.0,3.3,38.0,56233.0,90.0
Abraham Lincoln Institute,False,2000.0,1500.0,500.0,,40.0,2000.0,300.0,10000.0,5000.0,600.0,1500.0,60.0,60.0,15.0,100.0,8000.0,60.0
Whitman College,True,1861.0,998.0,359.0,45.0,77.0,1220.0,46.0,16670.0,4900.0,750.0,800.0,80.0,83.0,10.5,51.0,13198.0,72.0
Georgian Court College,True,348.0,281.0,127.0,12.0,52.0,1095.0,785.0,9150.0,3950.0,500.0,800.0,56.0,59.0,12.2,27.0,7348.0,76.0
Washington and Lee University,True,3315.0,1096.0,425.0,68.0,93.0,1584.0,3.0,13750.0,4619.0,680.0,1115.0,81.0,96.0,9.6,45.0,15736.0,90.0
Mississippi University for Women,False,480.0,405.0,380.0,19.0,46.0,1673.0,1014.0,4386.0,2217.0,600.0,1500.0,49.0,54.0,15.8,8.0,5704.0,63.0
Mount St. Mary's College,True,657.0,537.0,113.0,37.0,90.0,1039.0,466.0,12474.0,5678.0,630.0,1278.0,53.0,71.0,11.9,19.0,10613.0,72.0
University of Maine at Machias,False,441.0,369.0,172.0,17.0,45.0,633.0,317.0,6600.0,3680.0,600.0,400.0,46.0,46.0,15.1,4.0,5935.0,64.0
Emily Dickinson School of Arts,True,2000.0,,500.0,20.0,,2000.0,300.0,10000.0,,600.0,1500.0,60.0,60.0,,20.0,8000.0,60.0
Southeastern Oklahoma State Univ.,False,818.0,700.0,447.0,20.0,50.0,2962.0,651.0,3738.0,2619.0,450.0,1022.0,55.0,59.0,19.6,9.0,4444.0,53.0
University of Tennessee at Knoxville,False,7473.0,5372.0,3013.0,27.0,53.0,15749.0,3237.0,5764.0,3262.0,750.0,3300.0,86.0,92.0,16.5,22.0,8612.0,53.0
University of Cincinnati,False,6855.0,5553.0,2408.0,26.0,57.0,11036.0,2011.0,8907.0,4697.0,556.0,1851.0,89.0,95.0,10.8,6.0,13889.0,54.0
Bard College,True,1910.0,838.0,285.0,50.0,85.0,1004.0,15.0,19264.0,6206.0,750.0,750.0,98.0,98.0,10.4,30.0,13894.0,79.0
Juniata College,True,1005.0,859.0,298.0,36.0,55.0,1075.0,43.0,14850.0,4460.0,450.0,420.0,97.0,97.0,12.7,37.0,12067.0,80.0
University of Texas at Austin,False,14752.0,9572.0,5329.0,48.0,85.0,30017.0,5189.0,5130.0,3309.0,650.0,3140.0,91.0,99.0,19.7,11.0,7837.0,65.0
Austin College,True,948.0,798.0,295.0,42.0,74.0,1120.0,15.0,11280.0,4342.0,400.0,1150.0,81.0,95.0,13.0,33.0,11361.0,71.0
Walsh University,True,1092.0,890.0,477.0,27.0,92.0,847.0,497.0,8670.0,4180.0,500.0,1450.0,42.0,58.0,11.3,33.0,5738.0,68.0
University of Massachusetts at Amherst,False,14438.0,12414.0,3816.0,12.0,39.0,16282.0,1940.0,8566.0,3897.0,500.0,1400.0,88.0,92.0,16.7,15.0,10276.0,68.0
University of North Dakota,False,2777.0,2249.0,1652.0,20.0,54.0,8334.0,1435.0,5634.0,2703.0,450.0,1200.0,97.0,97.0,15.9,16.0,9424.0,49.0
Hood College,True,699.0,565.0,176.0,36.0,64.0,710.0,399.0,13960.0,6040.0,450.0,690.0,82.0,88.0,14.4,34.0,12434.0,72.0
Eureka College,True,560.0,454.0,113.0,36.0,56.0,484.0,16.0,10955.0,3450.0,330.0,670.0,62.0,87.0,10.6,31.0,9552.0,53.0
University of Arkansas at Fayetteville,False,3235.0,3108.0,2133.0,25.0,65.0,9978.0,1530.0,5028.0,3300.0,500.0,2000.0,73.0,89.0,14.8,10.0,6820.0,39.0
Coe College,True,1006.0,742.0,275.0,29.0,60.0,1127.0,205.0,13925.0,4390.0,500.0,2200.0,73.0,86.0,12.7,32.0,10141.0,67.0
Davidson College,True,2373.0,956.0,452.0,77.0,96.0,1601.0,6.0,17295.0,5070.0,600.0,1011.0,95.0,97.0,12.0,46.0,17581.0,94.0
Pace University,True,8256.0,3750.0,1522.0,37.0,70.0,5809.0,4379.0,11000.0,5160.0,660.0,1115.0,90.0,95.0,13.8,10.0,10059.0,62.0
Galileo Institute,True,2000.0,1500.0,,20.0,40.0,2000.0,300.0,10000.0,5000.0,600.0,,60.0,60.0,15.0,20.0,1.0,60.0
Macalester College,True,2939.0,1496.0,452.0,56.0,86.0,1723.0,113.0,15909.0,4772.0,500.0,700.0,85.0,91.0,11.9,37.0,14213.0,77.0
Nelson Mandela Center for Studies,True,2000.0,1500.0,500.0,20.0,40.0,2000.0,300.0,,5000.0,600.0,1500.0,,60.0,15.0,20.0,8000.0,60.0
Rosary College,True,434.0,321.0,141.0,28.0,53.0,624.0,269.0,10950.0,4600.0,550.0,950.0,79.0,82.0,12.9,30.0,9264.0,81.0
Genghis Khan School of Arts,True,2000.0,1500.0,500.0,20.0,40.0,2000.0,300.0,10000.0,5000.0,600.0,1500.0,60.0,60.0,15.0,20.0,8000.0,
Florida Southern College,True,1381.0,1040.0,374.0,20.0,44.0,1506.0,970.0,8025.0,4865.0,400.0,650.0,65.0,74.0,17.4,10.0,6339.0,68.0
Voorhees College,True,1465.0,1006.0,188.0,10.0,30.0,703.0,20.0,4450.0,2522.0,500.0,1200.0,43.0,43.0,22.9,3.0,5861.0,58.0
Morningside College,True,586.0,533.0,239.0,16.0,36.0,950.0,228.0,10520.0,3678.0,500.0,1000.0,48.0,68.0,13.0,32.0,8111.0,56.0
Westminster College PA,True,1738.0,1373.0,417.0,21.0,55.0,1335.0,30.0,18460.0,5970.0,700.0,850.0,92.0,96.0,13.2,41.0,22704.0,71.0
Simón Bolívar Center for Studies,True,2000.0,1500.0,500.0,,40.0,2000.0,300.0,10000.0,5000.0,600.0,1500.0,,60.0,,20.0,8000.0,60.0
Frida Kahlo College,True,2000.0,1500.0,500.0,,40.0,2000.0,300.0,10000.0,5000.0,600.0,1500.0,60.0,,15.0,20.0,8000.0,60.0
Hypatia College,False,2000.0,1500.0,500.0,20.0,,2000.0,300.0,10000.0,5000.0,600.0,,60.0,60.0,15.0,20.0,8000.0,0.0
Washington State University,False,6540.0,5839.0,2440.0,31.0,70.0,14445.0,1344.0,8200.0,4210.0,800.0,2719.0,84.0,87.0,16.9,30.0,10912.0,56.0
Isaac Newton Institute,True,2000.0,1500.0,500.0,20.0,40.0,2000.0,300.0,10000.0,5000.0,600.0,1500.0,60.0,60.0,15.0,20.0,8000.0,60.0
Saint Michael's College,True,1910.0,1380.0,463.0,16.0,64.0,1715.0,106.0,13030.0,5860.0,500.0,750.0,79.0,88.0,14.5,34.0,10190.0,84.0
University of Mobile,True,452.0,331.0,269.0,17.0,54.0,1417.0,301.0,6150.0,3680.0,550.0,1200.0,59.0,63.0,16.6,4.0,5412.0,52.0
University of Alabama at Birmingham,False,1797.0,1260.0,938.0,24.0,35.0,6960.0,4698.0,4440.0,5175.0,750.0,2200.0,96.0,96.0,6.7,16.0,16352.0,33.0
Mount Saint Mary College,True,1170.0,695.0,238.0,14.0,48.0,1170.0,429.0,7470.0,4600.0,250.0,1400.0,74.0,75.0,15.3,23.0,6898.0,88.0
Galileo School of Arts,False,2000.0,1500.0,500.0,20.0,40.0,2000.0,300.0,10000.0,5000.0,600.0,1500.0,60.0,60.0,15.0,20.0,,60.0
Rutgers State University at Newark,False,5785.0,2690.0,499.0,26.0,62.0,4005.0,1886.0,7410.0,4748.0,690.0,2009.0,90.0,95.0,17.4,16.0,11878.0,58.0
Adrian College,True,1428.0,1097.0,336.0,22.0,50.0,1036.0,99.0,11250.0,3750.0,400.0,1165.0,53.0,66.0,12.9,30.0,8735.0,54.0
Occidental College,True,2324.0,1319.0,370.0,52.0,81.0,1686.0,35.0,16560.0,5140.0,558.0,1152.0,91.0,93.0,10.5,30.0,16196.0,79.0
Doane College,True,793.0,709.0,244.0,20.0,47.0,1022.0,411.0,9570.0,3000.0,400.0,1000.0,67.0,72.0,15.1,42.0,6852.0,60.0
University of Dubuque,True,576.0,558.0,137.0,11.0,39.0,662.0,131.0,10430.0,3620.0,400.0,1500.0,85.0,98.0,16.5,18.0,8767.0,45.0
University of San Diego,True,3934.0,2735.0,886.0,40.0,70.0,3698.0,217.0,13600.0,5940.0,630.0,1820.0,93.0,96.0,15.6,13.0,10813.0,66.0
Carleton College,True,2694.0,1579.0,489.0,75.0,93.0,1870.0,12.0,19292.0,3957.0,550.0,550.0,81.0,93.0,10.4,60.0,17960.0,91.0
Otterbein College,True,1496.0,1205.0,428.0,26.0,57.0,1648.0,936.0,12888.0,4440.0,420.0,840.0,62.0,68.0,13.9,30.0,8802.0,87.0
Carroll College,True,1160.0,991.0,352.0,19.0,55.0,1357.0,737.0,12200.0,3880.0,480.0,930.0,74.0,81.0,17.8,25.0,7666.0,79.0
Wilson College,True,167.0,130.0,46.0,16.0,50.0,199.0,676.0,11428.0,5084.0,450.0,475.0,67.0,76.0,8.3,43.0,10291.0,67.0
SUNY at Stony Brook,False,12512.0,6969.0,1724.0,27.0,66.0,9744.0,1351.0,6550.0,4712.0,600.0,1200.0,91.0,96.0,10.5,7.0,13705.0,57.0
Texas Christian University,True,4095.0,3079.0,1195.0,33.0,64.0,5064.0,660.0,8490.0,3320.0,650.0,2400.0,81.0,93.0,14.8,23.0,9158.0,64.0
